,BMM3_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,5
RP11-34P13.8,0
AL627309.1,10
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,210
RP4-669L17.10,13
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,9
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,39
RP11-206L10.9,53
AL669831.1,0
FAM87B,0
LINC00115,41
FAM41C,66
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,33
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,473
KLHL17,10
PLEKHN1,14
C1orf170,1
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,744
AGRN,12
RP11-54O7.18,0
RNF223,1
C1orf159,40
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,20
TNFRSF18,130
TNFRSF4,173
SDF4,74
B3GALT6,19
FAM132A,6
RP5-902P8.12,1
UBE2J2,379
RP5-902P8.10,3
SCNN1D,3
ACAP3,34
PUSL1,80
CPSF3L,382
GLTPD1,118
TAS1R3,1
DVL1,14
MXRA8,3
AURKAIP1,1317
CCNL2,523
RP4-758J18.2,300
MRPL20,1222
RP4-758J18.13,6
ANKRD65,4
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,0
ATAD3C,27
ATAD3B,28
ATAD3A,16
TMEM240,0
SSU72,668
AL645728.1,35
C1orf233,2
RP11-345P4.9,73
MIB2,174
MMP23B,21
CDK11B,346
RP11-345P4.10,0
SLC35E2B,324
RP11-345P4.7,18
CDK11A,648
SLC35E2,71
NADK,147
GNB1,390
RP1-140A9.1,13
CALML6,4
TMEM52,1
C1orf222,30
RP11-547D24.1,21
GABRD,0
RP11-547D24.3,1
PRKCZ,28
RP5-892K4.1,117
RP11-181G12.2,6
C1orf86,711
AL590822.2,8
AL590822.1,17
RP11-181G12.5,0
RP11-181G12.4,2
SKI,62
MORN1,28
AL589739.1,0
RER1,787
PEX10,78
PLCH2,31
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,46
HES5,0
RP3-395M20.12,135
TNFRSF14,963
RP3-395M20.7,1
RP3-395M20.9,26
FAM213B,79
MMEL1,10
RP13-436F16.1,0
TTC34,26
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,3
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,14
RP11-46F15.2,16
TPRG1L,47
WRAP73,170
TP73,2
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,58
CCDC27,0
SMIM1,60
LRRC47,65
RP1-286D6.5,2
CEP104,110
DFFB,49
C1orf174,283
LINC01134,11
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,2
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,1
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,10
KCNAB2,277
AL035406.1,0
CHD5,2
RPL22,20520
RP1-120G22.11,0
RNF207,9
ICMT,67
LINC00337,15
