,BMET8_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,6
RP11-34P13.8,0
AL627309.1,29
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,113
RP4-669L17.10,17
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,2
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,27
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,25
RP11-206L10.9,65
AL669831.1,0
FAM87B,0
LINC00115,62
FAM41C,42
AL645608.2,0
RP11-54O7.16,1
RP11-54O7.1,11
RP11-54O7.2,1
RP11-54O7.3,1
SAMD11,1
AL645608.1,0
NOC2L,285
KLHL17,13
PLEKHN1,20
C1orf170,2
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,753
AGRN,8
RP11-54O7.18,0
RNF223,1
C1orf159,35
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,6
TNFRSF18,123
TNFRSF4,144
SDF4,65
B3GALT6,27
FAM132A,3
RP5-902P8.12,1
UBE2J2,126
RP5-902P8.10,0
SCNN1D,6
ACAP3,35
PUSL1,65
CPSF3L,189
GLTPD1,76
TAS1R3,0
DVL1,20
MXRA8,0
AURKAIP1,1067
CCNL2,305
RP4-758J18.2,174
MRPL20,1198
RP4-758J18.13,15
ANKRD65,6
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,0
ATAD3C,41
ATAD3B,39
ATAD3A,39
TMEM240,0
SSU72,626
AL645728.1,26
C1orf233,8
RP11-345P4.9,67
MIB2,96
MMP23B,28
CDK11B,228
RP11-345P4.10,5
SLC35E2B,248
RP11-345P4.7,9
CDK11A,419
SLC35E2,42
NADK,158
GNB1,387
RP1-140A9.1,1
CALML6,3
TMEM52,1
C1orf222,13
RP11-547D24.1,6
GABRD,0
RP11-547D24.3,0
PRKCZ,20
RP5-892K4.1,49
RP11-181G12.2,1
C1orf86,393
AL590822.2,14
AL590822.1,6
RP11-181G12.5,0
RP11-181G12.4,0
SKI,103
MORN1,15
AL589739.1,0
RER1,546
PEX10,34
PLCH2,14
RP3-395M20.2,1
RP3-395M20.3,0
PANK4,35
HES5,1
RP3-395M20.12,110
TNFRSF14,789
RP3-395M20.7,0
RP3-395M20.9,14
FAM213B,85
MMEL1,7
RP13-436F16.1,1
TTC34,18
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,0
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,14
RP11-46F15.2,25
TPRG1L,44
WRAP73,88
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,36
CCDC27,0
SMIM1,338
LRRC47,71
RP1-286D6.5,3
CEP104,95
DFFB,34
C1orf174,246
LINC01134,12
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,6
KCNAB2,398
AL035406.1,1
CHD5,1
RPL22,19722
RP1-120G22.11,0
RNF207,25
ICMT,85
LINC00337,2
