,BMET10_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,3
RP11-34P13.8,0
AL627309.1,115
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,282
RP4-669L17.10,16
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,65
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,27
RP11-206L10.9,31
AL669831.1,0
FAM87B,0
LINC00115,76
FAM41C,83
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,28
RP11-54O7.2,2
RP11-54O7.3,0
SAMD11,1
AL645608.1,0
NOC2L,705
KLHL17,18
PLEKHN1,35
C1orf170,5
RP11-54O7.17,1
HES4,0
RP11-54O7.11,0
ISG15,2380
AGRN,22
RP11-54O7.18,0
RNF223,1
C1orf159,78
RP11-465B22.5,0
RP11-465B22.8,1
TTLL10-AS1,0
TTLL10,5
TNFRSF18,230
TNFRSF4,341
SDF4,149
B3GALT6,67
FAM132A,9
RP5-902P8.12,3
UBE2J2,622
RP5-902P8.10,2
SCNN1D,11
ACAP3,80
PUSL1,252
CPSF3L,653
GLTPD1,128
TAS1R3,9
DVL1,74
MXRA8,15
AURKAIP1,4216
CCNL2,508
RP4-758J18.2,342
MRPL20,4485
RP4-758J18.13,7
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,2
ATAD3C,37
ATAD3B,162
ATAD3A,139
TMEM240,0
SSU72,1173
AL645728.1,48
C1orf233,36
RP11-345P4.9,120
MIB2,129
MMP23B,12
CDK11B,343
RP11-345P4.10,12
SLC35E2B,259
RP11-345P4.7,11
CDK11A,342
SLC35E2,18
NADK,459
GNB1,998
RP1-140A9.1,15
CALML6,1
TMEM52,8
C1orf222,19
RP11-547D24.1,10
GABRD,0
RP11-547D24.3,1
PRKCZ,52
RP5-892K4.1,70
RP11-181G12.2,5
C1orf86,1704
AL590822.2,10
AL590822.1,8
RP11-181G12.5,0
RP11-181G12.4,0
SKI,126
MORN1,38
AL589739.1,1
RER1,1873
PEX10,175
PLCH2,6
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,69
HES5,2
RP3-395M20.12,169
TNFRSF14,935
RP3-395M20.7,0
RP3-395M20.9,19
FAM213B,138
MMEL1,74
RP13-436F16.1,0
TTC34,17
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,3
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,18
RP11-46F15.2,17
TPRG1L,100
WRAP73,218
TP73,2
RP5-1092A11.5,2
RP5-1092A11.2,0
TP73-AS1,99
CCDC27,0
SMIM1,1859
LRRC47,150
RP1-286D6.5,3
CEP104,167
DFFB,60
C1orf174,525
LINC01134,16
RP13-614K11.1,1
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,21
KCNAB2,696
AL035406.1,0
CHD5,3
RPL22,40764
RP1-120G22.11,1
RNF207,20
ICMT,178
