,BMET6_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,1
RP11-34P13.8,0
AL627309.1,11
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,181
RP4-669L17.10,16
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,1
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,4
RP11-206L10.5,2
RP11-206L10.4,0
RP11-206L10.2,29
RP11-206L10.9,41
AL669831.1,0
FAM87B,1
LINC00115,16
FAM41C,79
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,14
RP11-54O7.2,0
RP11-54O7.3,1
SAMD11,4
AL645608.1,0
NOC2L,151
KLHL17,5
PLEKHN1,31
C1orf170,1
RP11-54O7.17,1
HES4,0
RP11-54O7.11,1
ISG15,927
AGRN,30
RP11-54O7.18,0
RNF223,0
C1orf159,26
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,5
TNFRSF18,61
TNFRSF4,75
SDF4,86
B3GALT6,19
FAM132A,3
RP5-902P8.12,2
UBE2J2,51
RP5-902P8.10,0
SCNN1D,2
ACAP3,19
PUSL1,41
CPSF3L,181
GLTPD1,45
TAS1R3,2
DVL1,28
MXRA8,64
AURKAIP1,913
CCNL2,176
RP4-758J18.2,35
MRPL20,832
RP4-758J18.13,8
ANKRD65,10
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,32
ATAD3C,31
ATAD3B,32
ATAD3A,34
TMEM240,1
SSU72,403
AL645728.1,21
C1orf233,11
RP11-345P4.9,12
MIB2,27
MMP23B,6
CDK11B,206
RP11-345P4.10,8
SLC35E2B,103
RP11-345P4.7,4
CDK11A,324
SLC35E2,14
NADK,92
GNB1,361
RP1-140A9.1,3
CALML6,0
TMEM52,0
C1orf222,11
RP11-547D24.1,11
GABRD,0
RP11-547D24.3,0
PRKCZ,5
RP5-892K4.1,87
RP11-181G12.2,1
C1orf86,158
AL590822.2,3
AL590822.1,5
RP11-181G12.5,0
RP11-181G12.4,0
SKI,158
MORN1,7
AL589739.1,2
RER1,637
PEX10,19
PLCH2,10
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,15
HES5,0
RP3-395M20.12,63
TNFRSF14,378
RP3-395M20.7,0
RP3-395M20.9,13
FAM213B,60
MMEL1,6
RP13-436F16.1,0
TTC34,0
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,1
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,2
RP11-168F9.2,0
MEGF6,6
RP11-46F15.2,3
TPRG1L,27
WRAP73,61
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,14
CCDC27,0
SMIM1,9
LRRC47,47
RP1-286D6.5,1
CEP104,66
DFFB,22
C1orf174,143
LINC01134,6
RP13-614K11.1,2
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,12
KCNAB2,261
AL035406.1,0
CHD5,0
RPL22,9389
RP1-120G22.11,0
RNF207,7
ICMT,42
LINC00337,4
