,BMET6_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,5
RP11-34P13.8,0
AL627309.1,17
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,137
RP4-669L17.10,17
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,17
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,28
RP11-206L10.9,35
AL669831.1,0
FAM87B,0
LINC00115,58
FAM41C,60
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,9
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,376
KLHL17,11
PLEKHN1,13
C1orf170,0
RP11-54O7.17,1
HES4,0
RP11-54O7.11,0
ISG15,346
AGRN,16
RP11-54O7.18,0
RNF223,0
C1orf159,48
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,9
TNFRSF18,65
TNFRSF4,52
SDF4,52
B3GALT6,42
FAM132A,7
RP5-902P8.12,0
UBE2J2,299
RP5-902P8.10,2
SCNN1D,8
ACAP3,40
PUSL1,122
CPSF3L,278
GLTPD1,76
TAS1R3,3
DVL1,51
MXRA8,2
AURKAIP1,1656
CCNL2,277
RP4-758J18.2,188
MRPL20,1995
RP4-758J18.13,20
ANKRD65,4
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,1
ATAD3C,29
ATAD3B,95
ATAD3A,133
TMEM240,0
SSU72,660
AL645728.1,15
C1orf233,21
RP11-345P4.9,82
MIB2,87
MMP23B,21
CDK11B,238
RP11-345P4.10,2
SLC35E2B,235
RP11-345P4.7,9
CDK11A,341
SLC35E2,30
NADK,151
GNB1,374
RP1-140A9.1,8
CALML6,0
TMEM52,4
C1orf222,11
RP11-547D24.1,8
GABRD,0
RP11-547D24.3,0
PRKCZ,14
RP5-892K4.1,32
RP11-181G12.2,4
C1orf86,718
AL590822.2,2
AL590822.1,7
RP11-181G12.5,0
RP11-181G12.4,0
SKI,101
MORN1,30
AL589739.1,0
RER1,726
PEX10,104
PLCH2,4
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,19
HES5,3
RP3-395M20.12,56
TNFRSF14,343
RP3-395M20.7,0
RP3-395M20.9,3
FAM213B,157
MMEL1,19
RP13-436F16.1,0
TTC34,16
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,5
PRDM16,22
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,17
RP11-46F15.2,11
TPRG1L,54
WRAP73,93
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,67
CCDC27,0
SMIM1,1962
LRRC47,114
RP1-286D6.5,2
CEP104,112
DFFB,54
C1orf174,379
LINC01134,5
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,14
KCNAB2,265
AL035406.1,0
CHD5,1
RPL22,26565
RP1-120G22.11,0
RNF207,9
ICMT,129
LINC00337,3
