,BMET2_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,15
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,107
RP4-669L17.10,6
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,15
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,7
RP11-206L10.9,16
AL669831.1,0
FAM87B,0
LINC00115,32
FAM41C,26
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,7
RP11-54O7.2,0
RP11-54O7.3,2
SAMD11,0
AL645608.1,0
NOC2L,217
KLHL17,4
PLEKHN1,11
C1orf170,3
RP11-54O7.17,2
HES4,0
RP11-54O7.11,1
ISG15,926
AGRN,8
RP11-54O7.18,0
RNF223,2
C1orf159,18
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,8
TNFRSF18,77
TNFRSF4,79
SDF4,39
B3GALT6,12
FAM132A,2
RP5-902P8.12,0
UBE2J2,74
RP5-902P8.10,1
SCNN1D,1
ACAP3,25
PUSL1,39
CPSF3L,158
GLTPD1,52
TAS1R3,0
DVL1,12
MXRA8,1
AURKAIP1,813
CCNL2,203
RP4-758J18.2,109
MRPL20,872
RP4-758J18.13,3
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,1
ATAD3C,17
ATAD3B,31
ATAD3A,14
TMEM240,0
SSU72,342
AL645728.1,18
C1orf233,7
RP11-345P4.9,34
MIB2,41
MMP23B,9
CDK11B,134
RP11-345P4.10,4
SLC35E2B,149
RP11-345P4.7,6
CDK11A,242
SLC35E2,17
NADK,178
GNB1,307
RP1-140A9.1,2
CALML6,0
TMEM52,0
C1orf222,18
RP11-547D24.1,4
GABRD,0
RP11-547D24.3,0
PRKCZ,11
RP5-892K4.1,42
RP11-181G12.2,1
C1orf86,260
AL590822.2,1
AL590822.1,7
RP11-181G12.5,0
RP11-181G12.4,0
SKI,62
MORN1,11
AL589739.1,0
RER1,403
PEX10,43
PLCH2,6
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,19
HES5,0
RP3-395M20.12,116
TNFRSF14,653
RP3-395M20.7,0
RP3-395M20.9,6
FAM213B,49
MMEL1,27
RP13-436F16.1,0
TTC34,6
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,1
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,5
RP11-46F15.2,17
TPRG1L,41
WRAP73,81
TP73,0
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,19
CCDC27,0
SMIM1,56
LRRC47,42
RP1-286D6.5,0
CEP104,57
DFFB,25
C1orf174,213
LINC01134,7
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,7
KCNAB2,194
AL035406.1,0
CHD5,0
RPL22,12580
RP1-120G22.11,0
RNF207,11
ICMT,54
LINC00337,4
