,BMM6_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,11
RP11-34P13.8,0
AL627309.1,16
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,197
RP4-669L17.10,18
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,1
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,25
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,31
RP11-206L10.9,63
AL669831.1,0
FAM87B,0
LINC00115,51
FAM41C,68
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,9
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,1
AL645608.1,0
NOC2L,517
KLHL17,5
PLEKHN1,19
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,1
ISG15,896
AGRN,8
RP11-54O7.18,0
RNF223,3
C1orf159,55
RP11-465B22.5,1
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,9
TNFRSF18,73
TNFRSF4,72
SDF4,91
B3GALT6,27
FAM132A,3
RP5-902P8.12,0
UBE2J2,463
RP5-902P8.10,5
SCNN1D,3
ACAP3,57
PUSL1,81
CPSF3L,340
GLTPD1,121
TAS1R3,0
DVL1,11
MXRA8,3
AURKAIP1,1484
CCNL2,743
RP4-758J18.2,321
MRPL20,1388
RP4-758J18.13,2
ANKRD65,6
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,0
ATAD3C,27
ATAD3B,72
ATAD3A,37
TMEM240,0
SSU72,848
AL645728.1,31
C1orf233,8
RP11-345P4.9,73
MIB2,294
MMP23B,25
CDK11B,404
RP11-345P4.10,7
SLC35E2B,513
RP11-345P4.7,38
CDK11A,871
SLC35E2,93
NADK,226
GNB1,552
RP1-140A9.1,10
CALML6,4
TMEM52,13
C1orf222,28
RP11-547D24.1,5
GABRD,0
RP11-547D24.3,0
PRKCZ,40
RP5-892K4.1,87
RP11-181G12.2,7
C1orf86,873
AL590822.2,10
AL590822.1,6
RP11-181G12.5,0
RP11-181G12.4,1
SKI,104
MORN1,36
AL589739.1,1
RER1,822
PEX10,88
PLCH2,32
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,60
HES5,0
RP3-395M20.12,114
TNFRSF14,1348
RP3-395M20.7,0
RP3-395M20.9,34
FAM213B,66
MMEL1,19
RP13-436F16.1,0
TTC34,20
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,4
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,20
RP11-46F15.2,11
TPRG1L,40
WRAP73,153
TP73,0
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,62
CCDC27,0
SMIM1,127
LRRC47,72
RP1-286D6.5,0
CEP104,237
DFFB,54
C1orf174,406
LINC01134,9
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,2
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,2
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,12
KCNAB2,373
AL035406.1,1
CHD5,1
RPL22,27535
RP1-120G22.11,0
RNF207,9
ICMT,65
LINC00337,4
