,BMET11_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,6
RP11-34P13.8,0
AL627309.1,38
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,248
RP4-669L17.10,8
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,2
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,33
RP11-206L10.5,3
RP11-206L10.4,0
RP11-206L10.2,33
RP11-206L10.9,80
AL669831.1,0
FAM87B,3
LINC00115,70
FAM41C,79
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,26
RP11-54O7.2,2
RP11-54O7.3,1
SAMD11,5
AL645608.1,0
NOC2L,592
KLHL17,10
PLEKHN1,30
C1orf170,5
RP11-54O7.17,7
HES4,2
RP11-54O7.11,1
ISG15,1479
AGRN,32
RP11-54O7.18,0
RNF223,4
C1orf159,61
RP11-465B22.5,0
RP11-465B22.8,1
TTLL10-AS1,0
TTLL10,12
TNFRSF18,691
TNFRSF4,507
SDF4,207
B3GALT6,51
FAM132A,3
RP5-902P8.12,0
UBE2J2,686
RP5-902P8.10,3
SCNN1D,16
ACAP3,112
PUSL1,246
CPSF3L,661
GLTPD1,173
TAS1R3,21
DVL1,72
MXRA8,20
AURKAIP1,3229
CCNL2,723
RP4-758J18.2,179
MRPL20,2509
RP4-758J18.13,7
ANKRD65,8
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,14
ATAD3C,76
ATAD3B,107
ATAD3A,127
TMEM240,0
SSU72,1332
AL645728.1,51
C1orf233,26
RP11-345P4.9,118
MIB2,266
MMP23B,25
CDK11B,428
RP11-345P4.10,17
SLC35E2B,415
RP11-345P4.7,6
CDK11A,594
SLC35E2,24
NADK,496
GNB1,1002
RP1-140A9.1,2
CALML6,1
TMEM52,26
C1orf222,26
RP11-547D24.1,18
GABRD,1
RP11-547D24.3,0
PRKCZ,59
RP5-892K4.1,111
RP11-181G12.2,12
C1orf86,1636
AL590822.2,16
AL590822.1,24
RP11-181G12.5,0
RP11-181G12.4,0
SKI,429
MORN1,30
AL589739.1,1
RER1,1562
PEX10,144
PLCH2,30
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,82
HES5,1
RP3-395M20.12,325
TNFRSF14,1650
RP3-395M20.7,1
RP3-395M20.9,19
FAM213B,93
MMEL1,32
RP13-436F16.1,0
TTC34,7
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,27
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,5
RP11-168F9.2,0
MEGF6,29
RP11-46F15.2,4
TPRG1L,84
WRAP73,227
TP73,11
RP5-1092A11.5,2
RP5-1092A11.2,0
TP73-AS1,97
CCDC27,0
SMIM1,745
LRRC47,121
RP1-286D6.5,5
CEP104,199
DFFB,56
C1orf174,485
LINC01134,13
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,1
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,25
KCNAB2,1089
AL035406.1,0
CHD5,4
RPL22,41561
RP1-120G22.11,1
RNF207,29
ICMT,133
