,BMET7_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,4
RP11-34P13.8,0
AL627309.1,23
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,136
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,2
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,29
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,27
RP11-206L10.9,40
AL669831.1,0
FAM87B,0
LINC00115,50
FAM41C,43
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,11
RP11-54O7.2,3
RP11-54O7.3,1
SAMD11,1
AL645608.1,0
NOC2L,319
KLHL17,3
PLEKHN1,17
C1orf170,2
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,260
AGRN,18
RP11-54O7.18,0
RNF223,0
C1orf159,39
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,9
TNFRSF18,67
TNFRSF4,73
SDF4,62
B3GALT6,30
FAM132A,0
RP5-902P8.12,1
UBE2J2,309
RP5-902P8.10,7
SCNN1D,9
ACAP3,54
PUSL1,90
CPSF3L,183
GLTPD1,65
TAS1R3,4
DVL1,33
MXRA8,2
AURKAIP1,1314
CCNL2,283
RP4-758J18.2,186
MRPL20,1809
RP4-758J18.13,18
ANKRD65,4
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,0
ATAD3C,44
ATAD3B,69
ATAD3A,79
TMEM240,0
SSU72,610
AL645728.1,29
C1orf233,16
RP11-345P4.9,64
MIB2,110
MMP23B,38
CDK11B,228
RP11-345P4.10,8
SLC35E2B,277
RP11-345P4.7,12
CDK11A,341
SLC35E2,47
NADK,171
GNB1,370
RP1-140A9.1,7
CALML6,0
TMEM52,9
C1orf222,16
RP11-547D24.1,8
GABRD,0
RP11-547D24.3,0
PRKCZ,13
RP5-892K4.1,41
RP11-181G12.2,3
C1orf86,636
AL590822.2,7
AL590822.1,8
RP11-181G12.5,0
RP11-181G12.4,0
SKI,110
MORN1,36
AL589739.1,1
RER1,504
PEX10,73
PLCH2,8
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,26
HES5,2
RP3-395M20.12,59
TNFRSF14,426
RP3-395M20.7,0
RP3-395M20.9,17
FAM213B,143
MMEL1,12
RP13-436F16.1,0
TTC34,16
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,5
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,7
RP11-46F15.2,24
TPRG1L,42
WRAP73,83
TP73,2
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,64
CCDC27,0
SMIM1,1710
LRRC47,107
RP1-286D6.5,2
CEP104,115
DFFB,27
C1orf174,349
LINC01134,4
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,15
KCNAB2,185
AL035406.1,0
CHD5,2
RPL22,27287
RP1-120G22.11,3
RNF207,18
ICMT,127
LINC00337,2
