,BMM4_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,17
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,128
RP4-669L17.10,8
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,24
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,17
RP11-206L10.9,42
AL669831.1,0
FAM87B,1
LINC00115,31
FAM41C,41
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,16
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,1
AL645608.1,0
NOC2L,195
KLHL17,6
PLEKHN1,14
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,482
AGRN,12
RP11-54O7.18,0
RNF223,0
C1orf159,17
RP11-465B22.5,1
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,10
TNFRSF18,53
TNFRSF4,62
SDF4,36
B3GALT6,17
FAM132A,1
RP5-902P8.12,0
UBE2J2,112
RP5-902P8.10,1
SCNN1D,2
ACAP3,21
PUSL1,32
CPSF3L,129
GLTPD1,44
TAS1R3,3
DVL1,11
MXRA8,4
AURKAIP1,586
CCNL2,253
RP4-758J18.2,104
MRPL20,582
RP4-758J18.13,12
ANKRD65,5
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,2
VWA1,0
ATAD3C,23
ATAD3B,35
ATAD3A,12
TMEM240,0
SSU72,337
AL645728.1,22
C1orf233,9
RP11-345P4.9,24
MIB2,81
MMP23B,12
CDK11B,163
RP11-345P4.10,1
SLC35E2B,207
RP11-345P4.7,17
CDK11A,305
SLC35E2,46
NADK,92
GNB1,240
RP1-140A9.1,3
CALML6,0
TMEM52,1
C1orf222,16
RP11-547D24.1,16
GABRD,0
RP11-547D24.3,0
PRKCZ,12
RP5-892K4.1,68
RP11-181G12.2,3
C1orf86,280
AL590822.2,9
AL590822.1,9
RP11-181G12.5,0
RP11-181G12.4,0
SKI,49
MORN1,20
AL589739.1,0
RER1,365
PEX10,39
PLCH2,14
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,18
HES5,0
RP3-395M20.12,30
TNFRSF14,478
RP3-395M20.7,0
RP3-395M20.9,10
FAM213B,41
MMEL1,7
RP13-436F16.1,0
TTC34,14
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,2
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,11
RP11-46F15.2,15
TPRG1L,27
WRAP73,59
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,25
CCDC27,0
SMIM1,33
LRRC47,34
RP1-286D6.5,0
CEP104,82
DFFB,34
C1orf174,110
LINC01134,5
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,2
KCNAB2,202
AL035406.1,0
CHD5,0
RPL22,12439
RP1-120G22.11,2
RNF207,20
ICMT,56
LINC00337,5
