,BMM2_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,5
RP11-34P13.8,0
AL627309.1,0
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,191
RP4-669L17.10,16
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,18
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,48
RP11-206L10.9,73
AL669831.1,0
FAM87B,1
LINC00115,54
FAM41C,58
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,14
RP11-54O7.2,0
RP11-54O7.3,1
SAMD11,1
AL645608.1,0
NOC2L,458
KLHL17,13
PLEKHN1,30
C1orf170,3
RP11-54O7.17,0
HES4,0
RP11-54O7.11,1
ISG15,1052
AGRN,14
RP11-54O7.18,0
RNF223,1
C1orf159,57
RP11-465B22.5,2
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,12
TNFRSF18,193
TNFRSF4,412
SDF4,84
B3GALT6,25
FAM132A,2
RP5-902P8.12,1
UBE2J2,248
RP5-902P8.10,0
SCNN1D,6
ACAP3,53
PUSL1,84
CPSF3L,349
GLTPD1,125
TAS1R3,0
DVL1,18
MXRA8,20
AURKAIP1,1368
CCNL2,698
RP4-758J18.2,363
MRPL20,1331
RP4-758J18.13,10
ANKRD65,7
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,3
VWA1,1
ATAD3C,55
ATAD3B,48
ATAD3A,16
TMEM240,0
SSU72,918
AL645728.1,47
C1orf233,5
RP11-345P4.9,93
MIB2,159
MMP23B,23
CDK11B,386
RP11-345P4.10,3
SLC35E2B,393
RP11-345P4.7,32
CDK11A,683
SLC35E2,71
NADK,100
GNB1,383
RP1-140A9.1,11
CALML6,2
TMEM52,1
C1orf222,28
RP11-547D24.1,10
GABRD,0
RP11-547D24.3,0
PRKCZ,22
RP5-892K4.1,98
RP11-181G12.2,5
C1orf86,586
AL590822.2,14
AL590822.1,14
RP11-181G12.5,0
RP11-181G12.4,1
SKI,115
MORN1,28
AL589739.1,1
RER1,779
PEX10,68
PLCH2,30
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,56
HES5,0
RP3-395M20.12,146
TNFRSF14,1117
RP3-395M20.7,0
RP3-395M20.9,37
FAM213B,99
MMEL1,4
RP13-436F16.1,0
TTC34,24
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,4
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,19
RP11-46F15.2,32
TPRG1L,53
WRAP73,180
TP73,2
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,43
CCDC27,0
SMIM1,85
LRRC47,91
RP1-286D6.5,0
CEP104,149
DFFB,65
C1orf174,352
LINC01134,9
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,1
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,5
KCNAB2,643
AL035406.1,2
CHD5,2
RPL22,24592
RP1-120G22.11,0
RNF207,33
ICMT,87
LINC00337,5
