,BMET3_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,3
RP11-34P13.8,0
AL627309.1,25
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,135
RP4-669L17.10,10
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,1
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,20
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,20
RP11-206L10.9,36
AL669831.1,1
FAM87B,1
LINC00115,52
FAM41C,49
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,9
RP11-54O7.2,1
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,322
KLHL17,6
PLEKHN1,10
C1orf170,0
RP11-54O7.17,1
HES4,0
RP11-54O7.11,0
ISG15,637
AGRN,19
RP11-54O7.18,0
RNF223,0
C1orf159,28
RP11-465B22.5,1
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,4
TNFRSF18,92
TNFRSF4,124
SDF4,80
B3GALT6,22
FAM132A,6
RP5-902P8.12,1
UBE2J2,266
RP5-902P8.10,3
SCNN1D,5
ACAP3,56
PUSL1,92
CPSF3L,268
GLTPD1,88
TAS1R3,11
DVL1,35
MXRA8,2
AURKAIP1,1492
CCNL2,290
RP4-758J18.2,149
MRPL20,1653
RP4-758J18.13,8
ANKRD65,2
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,0
ATAD3C,37
ATAD3B,58
ATAD3A,55
TMEM240,0
SSU72,575
AL645728.1,31
C1orf233,17
RP11-345P4.9,80
MIB2,99
MMP23B,7
CDK11B,199
RP11-345P4.10,6
SLC35E2B,261
RP11-345P4.7,14
CDK11A,289
SLC35E2,29
NADK,213
GNB1,363
RP1-140A9.1,1
CALML6,0
TMEM52,2
C1orf222,12
RP11-547D24.1,1
GABRD,0
RP11-547D24.3,0
PRKCZ,25
RP5-892K4.1,42
RP11-181G12.2,1
C1orf86,758
AL590822.2,5
AL590822.1,1
RP11-181G12.5,0
RP11-181G12.4,0
SKI,95
MORN1,21
AL589739.1,0
RER1,664
PEX10,57
PLCH2,13
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,27
HES5,0
RP3-395M20.12,127
TNFRSF14,706
RP3-395M20.7,0
RP3-395M20.9,32
FAM213B,74
MMEL1,21
RP13-436F16.1,0
TTC34,14
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,3
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,12
RP11-46F15.2,8
TPRG1L,81
WRAP73,126
TP73,3
RP5-1092A11.5,2
RP5-1092A11.2,0
TP73-AS1,48
CCDC27,0
SMIM1,695
LRRC47,75
RP1-286D6.5,3
CEP104,92
DFFB,52
C1orf174,229
LINC01134,5
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,10
KCNAB2,314
AL035406.1,0
CHD5,0
RPL22,26290
RP1-120G22.11,2
RNF207,9
ICMT,65
LINC00337,2
