,BMM9_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,5
RP11-34P13.8,0
AL627309.1,8
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,186
RP4-669L17.10,8
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,9
RP11-206L10.5,3
RP11-206L10.4,0
RP11-206L10.2,66
RP11-206L10.9,49
AL669831.1,0
FAM87B,1
LINC00115,46
FAM41C,42
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,14
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,2
AL645608.1,0
NOC2L,369
KLHL17,6
PLEKHN1,16
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,540
AGRN,5
RP11-54O7.18,0
RNF223,2
C1orf159,28
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,8
TNFRSF18,90
TNFRSF4,146
SDF4,51
B3GALT6,21
FAM132A,4
RP5-902P8.12,0
UBE2J2,362
RP5-902P8.10,4
SCNN1D,1
ACAP3,26
PUSL1,69
CPSF3L,260
GLTPD1,81
TAS1R3,3
DVL1,11
MXRA8,2
AURKAIP1,928
CCNL2,404
RP4-758J18.2,221
MRPL20,1175
RP4-758J18.13,8
ANKRD65,25
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,0
ATAD3C,26
ATAD3B,18
ATAD3A,23
TMEM240,0
SSU72,623
AL645728.1,41
C1orf233,6
RP11-345P4.9,70
MIB2,173
MMP23B,22
CDK11B,309
RP11-345P4.10,2
SLC35E2B,264
RP11-345P4.7,16
CDK11A,585
SLC35E2,32
NADK,141
GNB1,326
RP1-140A9.1,2
CALML6,0
TMEM52,6
C1orf222,20
RP11-547D24.1,11
GABRD,0
RP11-547D24.3,0
PRKCZ,22
RP5-892K4.1,78
RP11-181G12.2,1
C1orf86,585
AL590822.2,10
AL590822.1,5
RP11-181G12.5,0
RP11-181G12.4,0
SKI,80
MORN1,15
AL589739.1,0
RER1,647
PEX10,71
PLCH2,28
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,22
HES5,0
RP3-395M20.12,69
TNFRSF14,755
RP3-395M20.7,0
RP3-395M20.9,45
FAM213B,58
MMEL1,10
RP13-436F16.1,0
TTC34,18
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,10
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,14
RP11-46F15.2,11
TPRG1L,35
WRAP73,96
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,31
CCDC27,0
SMIM1,82
LRRC47,55
RP1-286D6.5,1
CEP104,113
DFFB,46
C1orf174,267
LINC01134,9
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,6
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,6
KCNAB2,314
AL035406.1,0
CHD5,4
RPL22,23901
RP1-120G22.11,0
RNF207,10
ICMT,36
LINC00337,4
