,BMET3_Tumor
MIR1302-10,1
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,6
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,73
RP4-669L17.10,5
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,5
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,13
RP11-206L10.9,14
AL669831.1,0
FAM87B,0
LINC00115,9
FAM41C,23
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,20
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,1
AL645608.1,0
NOC2L,95
KLHL17,2
PLEKHN1,10
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,217
AGRN,19
RP11-54O7.18,0
RNF223,2
C1orf159,12
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,5
TNFRSF18,46
TNFRSF4,58
SDF4,30
B3GALT6,4
FAM132A,3
RP5-902P8.12,0
UBE2J2,33
RP5-902P8.10,1
SCNN1D,1
ACAP3,13
PUSL1,16
CPSF3L,100
GLTPD1,17
TAS1R3,3
DVL1,19
MXRA8,75
AURKAIP1,354
CCNL2,165
RP4-758J18.2,33
MRPL20,339
RP4-758J18.13,2
ANKRD65,4
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,3
VWA1,9
ATAD3C,17
ATAD3B,15
ATAD3A,11
TMEM240,0
SSU72,159
AL645728.1,18
C1orf233,5
RP11-345P4.9,24
MIB2,32
MMP23B,5
CDK11B,112
RP11-345P4.10,0
SLC35E2B,74
RP11-345P4.7,4
CDK11A,226
SLC35E2,8
NADK,48
GNB1,148
RP1-140A9.1,0
CALML6,0
TMEM52,2
C1orf222,12
RP11-547D24.1,12
GABRD,0
RP11-547D24.3,0
PRKCZ,5
RP5-892K4.1,53
RP11-181G12.2,2
C1orf86,126
AL590822.2,6
AL590822.1,10
RP11-181G12.5,0
RP11-181G12.4,0
SKI,105
MORN1,7
AL589739.1,2
RER1,201
PEX10,10
PLCH2,4
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,11
HES5,1
RP3-395M20.12,63
TNFRSF14,231
RP3-395M20.7,1
RP3-395M20.9,1
FAM213B,14
MMEL1,5
RP13-436F16.1,0
TTC34,5
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,1
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
