,BMET1_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,3
RP11-34P13.8,0
AL627309.1,3
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,111
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,12
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,11
RP11-206L10.9,36
AL669831.1,0
FAM87B,0
LINC00115,21
FAM41C,23
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,18
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,1
AL645608.1,0
NOC2L,228
KLHL17,8
PLEKHN1,13
C1orf170,0
RP11-54O7.17,2
HES4,0
RP11-54O7.11,0
ISG15,915
AGRN,10
RP11-54O7.18,0
RNF223,1
C1orf159,13
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,9
TNFRSF18,171
TNFRSF4,224
SDF4,50
B3GALT6,13
FAM132A,2
RP5-902P8.12,2
UBE2J2,147
RP5-902P8.10,3
SCNN1D,2
ACAP3,28
PUSL1,48
CPSF3L,164
GLTPD1,64
TAS1R3,1
DVL1,18
MXRA8,4
AURKAIP1,620
CCNL2,239
RP4-758J18.2,85
MRPL20,586
RP4-758J18.13,4
ANKRD65,1
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,1
ATAD3C,29
ATAD3B,42
ATAD3A,15
TMEM240,0
SSU72,416
AL645728.1,33
C1orf233,6
RP11-345P4.9,44
MIB2,75
MMP23B,14
CDK11B,216
RP11-345P4.10,1
SLC35E2B,175
RP11-345P4.7,7
CDK11A,304
SLC35E2,22
NADK,65
GNB1,300
RP1-140A9.1,1
CALML6,0
TMEM52,1
C1orf222,15
RP11-547D24.1,22
GABRD,0
RP11-547D24.3,0
PRKCZ,11
RP5-892K4.1,97
RP11-181G12.2,1
C1orf86,379
AL590822.2,5
AL590822.1,12
RP11-181G12.5,0
RP11-181G12.4,1
SKI,100
MORN1,14
AL589739.1,0
RER1,322
PEX10,45
PLCH2,11
RP3-395M20.2,1
RP3-395M20.3,0
PANK4,34
HES5,0
RP3-395M20.12,76
TNFRSF14,514
RP3-395M20.7,0
RP3-395M20.9,10
FAM213B,31
MMEL1,4
RP13-436F16.1,0
TTC34,5
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,1
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,6
RP11-46F15.2,2
TPRG1L,41
WRAP73,69
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,23
CCDC27,0
SMIM1,39
LRRC47,30
RP1-286D6.5,0
CEP104,64
DFFB,26
C1orf174,193
LINC01134,2
RP13-614K11.1,1
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,7
KCNAB2,314
AL035406.1,0
CHD5,3
RPL22,9979
RP1-120G22.11,0
RNF207,23
ICMT,34
LINC00337,7
