,BMET5_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,3
RP11-34P13.8,0
AL627309.1,16
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,249
RP4-669L17.10,7
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,12
RP11-206L10.5,2
RP11-206L10.4,1
RP11-206L10.2,36
RP11-206L10.9,76
AL669831.1,0
FAM87B,2
LINC00115,54
FAM41C,65
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,30
RP11-54O7.2,2
RP11-54O7.3,0
SAMD11,6
AL645608.1,0
NOC2L,306
KLHL17,8
PLEKHN1,34
C1orf170,10
RP11-54O7.17,2
HES4,0
RP11-54O7.11,1
ISG15,754
AGRN,24
RP11-54O7.18,0
RNF223,1
C1orf159,36
RP11-465B22.5,0
RP11-465B22.8,2
TTLL10-AS1,1
TTLL10,7
TNFRSF18,319
TNFRSF4,176
SDF4,96
B3GALT6,23
FAM132A,4
RP5-902P8.12,0
UBE2J2,175
RP5-902P8.10,1
SCNN1D,3
ACAP3,33
PUSL1,105
CPSF3L,303
GLTPD1,88
TAS1R3,4
DVL1,32
MXRA8,76
AURKAIP1,1449
CCNL2,365
RP4-758J18.2,96
MRPL20,1194
RP4-758J18.13,5
ANKRD65,12
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,8
VWA1,21
ATAD3C,26
ATAD3B,55
ATAD3A,45
TMEM240,0
SSU72,716
AL645728.1,34
C1orf233,13
RP11-345P4.9,70
MIB2,62
MMP23B,15
CDK11B,246
RP11-345P4.10,9
SLC35E2B,168
RP11-345P4.7,7
CDK11A,413
SLC35E2,29
NADK,136
GNB1,444
RP1-140A9.1,12
CALML6,1
TMEM52,8
C1orf222,7
RP11-547D24.1,12
GABRD,2
RP11-547D24.3,0
PRKCZ,24
RP5-892K4.1,47
RP11-181G12.2,2
C1orf86,660
AL590822.2,9
AL590822.1,14
RP11-181G12.5,0
RP11-181G12.4,0
SKI,113
MORN1,19
AL589739.1,3
RER1,839
PEX10,72
PLCH2,18
RP3-395M20.2,0
RP3-395M20.3,1
PANK4,31
HES5,0
RP3-395M20.12,136
TNFRSF14,655
RP3-395M20.7,0
RP3-395M20.9,20
FAM213B,95
MMEL1,42
RP13-436F16.1,0
TTC34,2
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,5
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,9
RP11-168F9.2,0
MEGF6,12
RP11-46F15.2,3
TPRG1L,41
WRAP73,131
TP73,5
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,46
CCDC27,0
SMIM1,107
LRRC47,68
RP1-286D6.5,0
CEP104,52
DFFB,30
C1orf174,219
LINC01134,7
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,9
KCNAB2,330
AL035406.1,0
CHD5,5
RPL22,21343
RP1-120G22.11,0
RNF207,20
ICMT,43
LINC00337,7
