,BMET5_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,3
RP11-34P13.8,0
AL627309.1,9
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,88
RP4-669L17.10,6
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,15
RP11-206L10.5,4
RP11-206L10.4,0
RP11-206L10.2,34
RP11-206L10.9,57
AL669831.1,1
FAM87B,0
LINC00115,56
FAM41C,29
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,9
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,0
AL645608.1,0
NOC2L,219
KLHL17,7
PLEKHN1,12
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,1
ISG15,369
AGRN,7
RP11-54O7.18,0
RNF223,0
C1orf159,19
RP11-465B22.5,1
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,7
TNFRSF18,77
TNFRSF4,63
SDF4,42
B3GALT6,11
FAM132A,3
RP5-902P8.12,3
UBE2J2,164
RP5-902P8.10,4
SCNN1D,0
ACAP3,28
PUSL1,25
CPSF3L,119
GLTPD1,32
TAS1R3,2
DVL1,12
MXRA8,0
AURKAIP1,516
CCNL2,218
RP4-758J18.2,85
MRPL20,584
RP4-758J18.13,6
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,3
VWA1,0
ATAD3C,16
ATAD3B,21
ATAD3A,11
TMEM240,0
SSU72,347
AL645728.1,23
C1orf233,5
RP11-345P4.9,38
MIB2,120
MMP23B,24
CDK11B,200
RP11-345P4.10,2
SLC35E2B,171
RP11-345P4.7,18
CDK11A,349
SLC35E2,30
NADK,53
GNB1,175
RP1-140A9.1,2
CALML6,1
TMEM52,0
C1orf222,15
RP11-547D24.1,9
GABRD,0
RP11-547D24.3,0
PRKCZ,15
RP5-892K4.1,41
RP11-181G12.2,6
C1orf86,355
AL590822.2,6
AL590822.1,6
RP11-181G12.5,0
RP11-181G12.4,0
SKI,54
MORN1,5
AL589739.1,0
RER1,317
PEX10,22
PLCH2,17
RP3-395M20.2,1
RP3-395M20.3,0
PANK4,29
HES5,0
RP3-395M20.12,116
TNFRSF14,353
RP3-395M20.7,0
RP3-395M20.9,12
FAM213B,26
MMEL1,6
RP13-436F16.1,0
TTC34,12
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,4
PRDM16,5
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,6
RP11-46F15.2,22
TPRG1L,27
WRAP73,92
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,18
CCDC27,0
SMIM1,29
LRRC47,42
RP1-286D6.5,0
CEP104,60
DFFB,20
C1orf174,111
LINC01134,4
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,2
KCNAB2,282
AL035406.1,0
CHD5,3
RPL22,9088
RP1-120G22.11,1
RNF207,9
ICMT,28
LINC00337,4
