,BMET6_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,8
RP11-34P13.8,0
AL627309.1,16
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,175
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,4
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,17
RP11-206L10.5,2
RP11-206L10.4,0
RP11-206L10.2,32
RP11-206L10.9,73
AL669831.1,0
FAM87B,1
LINC00115,71
FAM41C,63
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,19
RP11-54O7.2,2
RP11-54O7.3,0
SAMD11,2
AL645608.1,0
NOC2L,553
KLHL17,4
PLEKHN1,24
C1orf170,4
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,1063
AGRN,18
RP11-54O7.18,0
RNF223,1
C1orf159,48
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,11
TNFRSF18,205
TNFRSF4,160
SDF4,126
B3GALT6,29
FAM132A,4
RP5-902P8.12,1
UBE2J2,573
RP5-902P8.10,6
SCNN1D,2
ACAP3,59
PUSL1,110
CPSF3L,361
GLTPD1,166
TAS1R3,8
DVL1,38
MXRA8,15
AURKAIP1,1879
CCNL2,573
RP4-758J18.2,265
MRPL20,2037
RP4-758J18.13,4
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,1
ATAD3C,44
ATAD3B,42
ATAD3A,48
TMEM240,0
SSU72,959
AL645728.1,46
C1orf233,10
RP11-345P4.9,106
MIB2,357
MMP23B,38
CDK11B,345
RP11-345P4.10,8
SLC35E2B,420
RP11-345P4.7,22
CDK11A,708
SLC35E2,54
NADK,145
GNB1,415
RP1-140A9.1,9
CALML6,0
TMEM52,4
C1orf222,17
RP11-547D24.1,11
GABRD,1
RP11-547D24.3,1
PRKCZ,48
RP5-892K4.1,57
RP11-181G12.2,0
C1orf86,960
AL590822.2,9
AL590822.1,7
RP11-181G12.5,0
RP11-181G12.4,1
SKI,135
MORN1,27
AL589739.1,0
RER1,1004
PEX10,94
PLCH2,22
RP3-395M20.2,1
RP3-395M20.3,0
PANK4,44
HES5,1
RP3-395M20.12,198
TNFRSF14,1078
RP3-395M20.7,1
RP3-395M20.9,31
FAM213B,109
MMEL1,41
RP13-436F16.1,0
TTC34,21
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,7
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,2
RP11-168F9.2,0
MEGF6,11
RP11-46F15.2,25
TPRG1L,61
WRAP73,165
TP73,1
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,72
CCDC27,0
SMIM1,427
LRRC47,81
RP1-286D6.5,2
CEP104,208
DFFB,63
C1orf174,414
LINC01134,7
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,9
KCNAB2,474
AL035406.1,0
CHD5,0
RPL22,33063
RP1-120G22.11,0
RNF207,26
ICMT,98
LINC00337,2
