,BMET11_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,5
RP11-34P13.8,0
AL627309.1,11
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,198
RP4-669L17.10,3
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,22
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,20
RP11-206L10.9,50
AL669831.1,0
FAM87B,0
LINC00115,64
FAM41C,46
AL645608.2,0
RP11-54O7.16,2
RP11-54O7.1,23
RP11-54O7.2,2
RP11-54O7.3,0
SAMD11,2
AL645608.1,0
NOC2L,420
KLHL17,5
PLEKHN1,13
C1orf170,1
RP11-54O7.17,1
HES4,0
RP11-54O7.11,1
ISG15,473
AGRN,10
RP11-54O7.18,0
RNF223,0
C1orf159,45
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,7
TNFRSF18,120
TNFRSF4,104
SDF4,75
B3GALT6,28
FAM132A,9
RP5-902P8.12,0
UBE2J2,421
RP5-902P8.10,2
SCNN1D,8
ACAP3,47
PUSL1,111
CPSF3L,293
GLTPD1,108
TAS1R3,5
DVL1,18
MXRA8,3
AURKAIP1,1593
CCNL2,394
RP4-758J18.2,290
MRPL20,1491
RP4-758J18.13,10
ANKRD65,11
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,5
VWA1,0
ATAD3C,33
ATAD3B,72
ATAD3A,67
TMEM240,0
SSU72,727
AL645728.1,28
C1orf233,18
RP11-345P4.9,103
MIB2,145
MMP23B,20
CDK11B,204
RP11-345P4.10,9
SLC35E2B,298
RP11-345P4.7,10
CDK11A,284
SLC35E2,23
NADK,182
GNB1,423
RP1-140A9.1,5
CALML6,1
TMEM52,2
C1orf222,20
RP11-547D24.1,5
GABRD,0
RP11-547D24.3,0
PRKCZ,31
RP5-892K4.1,50
RP11-181G12.2,4
C1orf86,806
AL590822.2,8
AL590822.1,10
RP11-181G12.5,0
RP11-181G12.4,0
SKI,86
MORN1,29
AL589739.1,0
RER1,696
PEX10,99
PLCH2,7
RP3-395M20.2,1
RP3-395M20.3,0
PANK4,54
HES5,0
RP3-395M20.12,90
TNFRSF14,692
RP3-395M20.7,0
RP3-395M20.9,15
FAM213B,93
MMEL1,13
RP13-436F16.1,0
TTC34,20
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,6
PRDM16,15
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,35
RP11-46F15.2,33
TPRG1L,48
WRAP73,127
TP73,3
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,96
CCDC27,0
SMIM1,1501
LRRC47,94
RP1-286D6.5,1
CEP104,127
DFFB,51
C1orf174,389
LINC01134,18
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,19
KCNAB2,442
AL035406.1,0
CHD5,1
RPL22,32927
RP1-120G22.11,1
RNF207,6
ICMT,105
LINC00337,4
