,BMET2_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,4
RP11-34P13.8,0
AL627309.1,24
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,205
RP4-669L17.10,7
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,1
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,10
RP11-206L10.5,2
RP11-206L10.4,0
RP11-206L10.2,18
RP11-206L10.9,42
AL669831.1,0
FAM87B,0
LINC00115,34
FAM41C,52
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,44
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,7
AL645608.1,0
NOC2L,243
KLHL17,5
PLEKHN1,4
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,4
ISG15,782
AGRN,29
RP11-54O7.18,0
RNF223,3
C1orf159,25
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,2
TTLL10,28
TNFRSF18,63
TNFRSF4,105
SDF4,47
B3GALT6,12
FAM132A,1
RP5-902P8.12,0
UBE2J2,191
RP5-902P8.10,3
SCNN1D,5
ACAP3,36
PUSL1,55
CPSF3L,162
GLTPD1,63
TAS1R3,2
DVL1,21
MXRA8,5
AURKAIP1,885
CCNL2,316
RP4-758J18.2,169
MRPL20,984
RP4-758J18.13,14
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,0
ATAD3C,66
ATAD3B,55
ATAD3A,15
TMEM240,0
SSU72,453
AL645728.1,47
C1orf233,14
RP11-345P4.9,43
MIB2,92
MMP23B,13
CDK11B,232
RP11-345P4.10,6
SLC35E2B,247
RP11-345P4.7,22
CDK11A,364
SLC35E2,48
NADK,200
GNB1,321
RP1-140A9.1,3
CALML6,0
TMEM52,1
C1orf222,57
RP11-547D24.1,44
GABRD,0
RP11-547D24.3,0
PRKCZ,18
RP5-892K4.1,129
RP11-181G12.2,4
C1orf86,502
AL590822.2,18
AL590822.1,40
RP11-181G12.5,0
RP11-181G12.4,0
SKI,94
MORN1,13
AL589739.1,0
RER1,411
PEX10,27
PLCH2,8
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,27
HES5,1
RP3-395M20.12,103
TNFRSF14,694
RP3-395M20.7,0
RP3-395M20.9,8
FAM213B,55
MMEL1,22
RP13-436F16.1,0
TTC34,7
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,4
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,10
RP11-46F15.2,18
TPRG1L,41
WRAP73,79
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,25
CCDC27,0
SMIM1,89
LRRC47,64
RP1-286D6.5,1
CEP104,99
DFFB,33
C1orf174,239
LINC01134,11
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,1
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,1
NPHP4,5
KCNAB2,268
AL035406.1,0
CHD5,0
RPL22,16225
RP1-120G22.11,0
RNF207,26
ICMT,89
LINC00337,16
