,BMM8_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,1
RP11-34P13.8,0
AL627309.1,9
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,206
RP4-669L17.10,9
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,17
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,20
RP11-206L10.9,32
AL669831.1,0
FAM87B,0
LINC00115,29
FAM41C,55
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,7
RP11-54O7.2,1
RP11-54O7.3,0
SAMD11,0
AL645608.1,0
NOC2L,338
KLHL17,8
PLEKHN1,7
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,1
ISG15,574
AGRN,9
RP11-54O7.18,0
RNF223,1
C1orf159,32
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,11
TNFRSF18,76
TNFRSF4,132
SDF4,75
B3GALT6,27
FAM132A,0
RP5-902P8.12,1
UBE2J2,340
RP5-902P8.10,2
SCNN1D,4
ACAP3,39
PUSL1,113
CPSF3L,291
GLTPD1,82
TAS1R3,0
DVL1,9
MXRA8,4
AURKAIP1,1483
CCNL2,280
RP4-758J18.2,231
MRPL20,1526
RP4-758J18.13,4
ANKRD65,15
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,1
VWA1,0
ATAD3C,12
ATAD3B,35
ATAD3A,46
TMEM240,0
SSU72,704
AL645728.1,28
C1orf233,23
RP11-345P4.9,40
MIB2,106
MMP23B,15
CDK11B,285
RP11-345P4.10,8
SLC35E2B,242
RP11-345P4.7,8
CDK11A,572
SLC35E2,46
NADK,112
GNB1,407
RP1-140A9.1,7
CALML6,0
TMEM52,6
C1orf222,19
RP11-547D24.1,11
GABRD,1
RP11-547D24.3,0
PRKCZ,23
RP5-892K4.1,40
RP11-181G12.2,2
C1orf86,801
AL590822.2,15
AL590822.1,5
RP11-181G12.5,0
RP11-181G12.4,0
SKI,93
MORN1,23
AL589739.1,0
RER1,654
PEX10,68
PLCH2,8
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,19
HES5,0
RP3-395M20.12,62
TNFRSF14,742
RP3-395M20.7,0
RP3-395M20.9,21
FAM213B,83
MMEL1,5
RP13-436F16.1,0
TTC34,16
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,2
PRDM16,3
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,14
RP11-46F15.2,6
TPRG1L,45
WRAP73,128
TP73,1
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,26
CCDC27,0
SMIM1,302
LRRC47,93
RP1-286D6.5,2
CEP104,76
DFFB,33
C1orf174,291
LINC01134,7
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,1
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,9
KCNAB2,284
AL035406.1,0
CHD5,0
RPL22,29331
RP1-120G22.11,1
RNF207,19
ICMT,60
LINC00337,2
