,BMET7_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,26
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,139
RP4-669L17.10,10
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,21
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,12
RP11-206L10.9,43
AL669831.1,0
FAM87B,0
LINC00115,29
FAM41C,30
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,15
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,163
KLHL17,4
PLEKHN1,6
C1orf170,0
RP11-54O7.17,2
HES4,0
RP11-54O7.11,2
ISG15,292
AGRN,7
RP11-54O7.18,0
RNF223,0
C1orf159,22
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,6
TNFRSF18,45
TNFRSF4,62
SDF4,54
B3GALT6,9
FAM132A,3
RP5-902P8.12,1
UBE2J2,58
RP5-902P8.10,1
SCNN1D,3
ACAP3,29
PUSL1,44
CPSF3L,193
GLTPD1,33
TAS1R3,5
DVL1,17
MXRA8,2
AURKAIP1,726
CCNL2,196
RP4-758J18.2,81
MRPL20,763
RP4-758J18.13,9
ANKRD65,3
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,2
VWA1,6
ATAD3C,23
ATAD3B,25
ATAD3A,28
TMEM240,0
SSU72,443
AL645728.1,15
C1orf233,12
RP11-345P4.9,22
MIB2,37
MMP23B,9
CDK11B,182
RP11-345P4.10,4
SLC35E2B,108
RP11-345P4.7,9
CDK11A,298
SLC35E2,28
NADK,87
GNB1,242
RP1-140A9.1,2
CALML6,0
TMEM52,2
C1orf222,8
RP11-547D24.1,10
GABRD,0
RP11-547D24.3,0
PRKCZ,11
RP5-892K4.1,35
RP11-181G12.2,1
C1orf86,217
AL590822.2,8
AL590822.1,8
RP11-181G12.5,0
RP11-181G12.4,0
SKI,51
MORN1,12
AL589739.1,2
RER1,446
PEX10,13
PLCH2,7
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,17
HES5,0
RP3-395M20.12,47
TNFRSF14,362
RP3-395M20.7,0
RP3-395M20.9,22
FAM213B,52
MMEL1,8
RP13-436F16.1,0
TTC34,2
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,3
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,1
RP11-168F9.2,0
MEGF6,9
RP11-46F15.2,7
TPRG1L,41
WRAP73,82
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,12
CCDC27,0
SMIM1,287
LRRC47,38
RP1-286D6.5,3
CEP104,48
DFFB,32
C1orf174,157
LINC01134,5
RP13-614K11.1,1
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,5
KCNAB2,141
AL035406.1,0
CHD5,7
RPL22,13614
RP1-120G22.11,0
RNF207,2
ICMT,33
LINC00337,7
