,BMET3_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,6
RP11-34P13.8,0
AL627309.1,25
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,233
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,2
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,33
RP11-206L10.5,3
RP11-206L10.4,0
RP11-206L10.2,64
RP11-206L10.9,71
AL669831.1,0
FAM87B,0
LINC00115,77
FAM41C,72
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,23
RP11-54O7.2,1
RP11-54O7.3,0
SAMD11,2
AL645608.1,0
NOC2L,430
KLHL17,23
PLEKHN1,10
C1orf170,1
RP11-54O7.17,1
HES4,0
RP11-54O7.11,1
ISG15,1010
AGRN,20
RP11-54O7.18,0
RNF223,2
C1orf159,43
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,22
TNFRSF18,78
TNFRSF4,142
SDF4,115
B3GALT6,26
FAM132A,4
RP5-902P8.12,0
UBE2J2,420
RP5-902P8.10,5
SCNN1D,7
ACAP3,82
PUSL1,112
CPSF3L,372
GLTPD1,138
TAS1R3,10
DVL1,40
MXRA8,8
AURKAIP1,1707
CCNL2,469
RP4-758J18.2,240
MRPL20,1735
RP4-758J18.13,9
ANKRD65,0
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,0
ATAD3C,48
ATAD3B,83
ATAD3A,40
TMEM240,0
SSU72,764
AL645728.1,27
C1orf233,19
RP11-345P4.9,100
MIB2,365
MMP23B,30
CDK11B,392
RP11-345P4.10,17
SLC35E2B,364
RP11-345P4.7,29
CDK11A,561
SLC35E2,53
NADK,234
GNB1,544
RP1-140A9.1,7
CALML6,0
TMEM52,1
C1orf222,26
RP11-547D24.1,12
GABRD,0
RP11-547D24.3,0
PRKCZ,59
RP5-892K4.1,85
RP11-181G12.2,3
C1orf86,1182
AL590822.2,7
AL590822.1,12
RP11-181G12.5,0
RP11-181G12.4,1
SKI,128
MORN1,26
AL589739.1,1
RER1,835
PEX10,46
PLCH2,22
RP3-395M20.2,2
RP3-395M20.3,0
PANK4,81
HES5,0
RP3-395M20.12,309
TNFRSF14,1226
RP3-395M20.7,0
RP3-395M20.9,25
FAM213B,60
MMEL1,22
RP13-436F16.1,0
TTC34,18
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,5
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,14
RP11-46F15.2,29
TPRG1L,95
WRAP73,200
TP73,3
RP5-1092A11.5,1
RP5-1092A11.2,0
TP73-AS1,54
CCDC27,0
SMIM1,59
LRRC47,116
RP1-286D6.5,0
CEP104,202
DFFB,54
C1orf174,384
LINC01134,13
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,10
KCNAB2,580
AL035406.1,0
CHD5,2
RPL22,30758
RP1-120G22.11,1
RNF207,12
ICMT,72
LINC00337,6
