,BMET8_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,47
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,94
RP4-669L17.10,17
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,2
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,19
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,20
RP11-206L10.9,59
AL669831.1,0
FAM87B,3
LINC00115,36
FAM41C,43
AL645608.2,0
RP11-54O7.16,1
RP11-54O7.1,5
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,181
KLHL17,7
PLEKHN1,5
C1orf170,1
RP11-54O7.17,3
HES4,0
RP11-54O7.11,0
ISG15,418
AGRN,11
RP11-54O7.18,0
RNF223,0
C1orf159,26
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,2
TNFRSF18,73
TNFRSF4,83
SDF4,53
B3GALT6,11
FAM132A,1
RP5-902P8.12,1
UBE2J2,125
RP5-902P8.10,0
SCNN1D,4
ACAP3,48
PUSL1,70
CPSF3L,207
GLTPD1,34
TAS1R3,8
DVL1,27
MXRA8,8
AURKAIP1,948
CCNL2,247
RP4-758J18.2,59
MRPL20,854
RP4-758J18.13,8
ANKRD65,7
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,3
ATAD3C,37
ATAD3B,45
ATAD3A,53
TMEM240,0
SSU72,487
AL645728.1,24
C1orf233,20
RP11-345P4.9,30
MIB2,73
MMP23B,14
CDK11B,195
RP11-345P4.10,4
SLC35E2B,135
RP11-345P4.7,5
CDK11A,265
SLC35E2,11
NADK,141
GNB1,347
RP1-140A9.1,1
CALML6,1
TMEM52,3
C1orf222,6
RP11-547D24.1,3
GABRD,1
RP11-547D24.3,0
PRKCZ,21
RP5-892K4.1,43
RP11-181G12.2,2
C1orf86,441
AL590822.2,5
AL590822.1,17
RP11-181G12.5,0
RP11-181G12.4,0
SKI,162
MORN1,17
AL589739.1,1
RER1,547
PEX10,42
PLCH2,10
RP3-395M20.2,2
RP3-395M20.3,0
PANK4,15
HES5,0
RP3-395M20.12,85
TNFRSF14,505
RP3-395M20.7,1
RP3-395M20.9,7
FAM213B,54
MMEL1,4
RP13-436F16.1,0
TTC34,2
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,1
PRDM16,0
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,16
RP11-46F15.2,1
TPRG1L,32
WRAP73,55
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,26
CCDC27,0
SMIM1,262
LRRC47,44
RP1-286D6.5,0
CEP104,60
DFFB,29
C1orf174,148
LINC01134,5
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,1
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,10
KCNAB2,319
AL035406.1,0
CHD5,0
RPL22,17293
RP1-120G22.11,0
RNF207,13
ICMT,53
LINC00337,6
